,timestamp,bitcoin_price,bitcoin_volume,bitcoin_market_cap,bitcoin_returns,bitcoin_volatility,score,No_Comments,title_sentiment,description_sentiment,score_lag1,score_lag2,score_lag3,score_lag4,score_lag5,score_lag6,score_lag7,No_Comments_lag1,No_Comments_lag2,No_Comments_lag3,No_Comments_lag4,No_Comments_lag5,No_Comments_lag6,No_Comments_lag7,title_sentiment_lag1,title_sentiment_lag2,title_sentiment_lag3,title_sentiment_lag4,title_sentiment_lag5,title_sentiment_lag6,title_sentiment_lag7,description_sentiment_lag1,description_sentiment_lag2,description_sentiment_lag3,description_sentiment_lag4,description_sentiment_lag5,description_sentiment_lag6,description_sentiment_lag7,sentiment,sentiment1,sentiment2,sentiment3,sentiment4,sentiment5,sentiment6,sentiment7,total_sentiment
53,2025-04-11,79596.35732250768,41213520154.25157,1580023209138.0547,-0.03662228869242723,0.5631156398390498,9.2,23.0,-0.55512583,-0.2768643,15.8,13.0,8.0,166.5,24.0,19.178165413877252,19.178165413877252,230.0,20.0,0.0,158.0,8.0,14.0,14.0,-0.59477437,-0.97388196,-0.8861557,-0.676327,0.992414,-0.5847721,-0.5847721,-0.9899017,-0.99582267,0.99949896,-0.96030676,-0.9679537,-0.80348384,-0.80348384,-0.41599506,-0.792338,-0.9848523,0.05667162,-0.8183169,0.012230158,-0.694128,-0.694128,-0.54135704
54,2025-04-12,83439.28818043756,39813566443.76779,1655868880454.1702,0.04828023526703795,0.5869845262396791,8.714285714285714,37.0,0.14461364,-0.11581434,9.2,15.8,13.0,8.0,166.5,24.0,19.178165413877252,23.0,230.0,20.0,0.0,158.0,8.0,14.0,-0.55512583,-0.59477437,-0.97388196,-0.8861557,-0.676327,0.992414,-0.5847721,-0.2768643,-0.9899017,-0.99582267,0.99949896,-0.96030676,-0.9679537,-0.80348384,0.014399648,-0.41599506,-0.792338,-0.9848523,0.05667162,-0.8183169,0.012230158,-0.694128,-0.45279112
55,2025-04-13,85305.09728392666,22428929482.069122,1693600655371.0874,0.02236127781260877,0.5790395073135439,9.666666666666666,188.0,-0.54914194,-0.9829696,8.714285714285714,9.2,15.8,13.0,8.0,166.5,24.0,37.0,23.0,230.0,20.0,0.0,158.0,8.0,0.14461364,-0.55512583,-0.59477437,-0.97388196,-0.8861557,-0.676327,0.992414,-0.11581434,-0.2768643,-0.9899017,-0.99582267,0.99949896,-0.96030676,-0.9679537,-0.76605576,0.014399648,-0.41599506,-0.792338,-0.9848523,0.05667162,-0.8183169,0.012230158,-0.46178207
56,2025-04-14,83600.82010054543,28731125717.934357,1658923208081.8682,-0.01997860898873105,0.5711361125053808,44.75,189.0,-0.1520516,-0.7488917,9.666666666666666,8.714285714285714,9.2,15.8,13.0,8.0,166.5,188.0,37.0,23.0,230.0,20.0,0.0,158.0,-0.54914194,0.14461364,-0.55512583,-0.59477437,-0.97388196,-0.8861557,-0.676327,-0.9829696,-0.11581434,-0.2768643,-0.9899017,-0.99582267,0.99949896,-0.96030676,-0.45047164,-0.76605576,0.014399648,-0.41599506,-0.792338,-0.9848523,0.05667162,-0.8183169,-0.5196198
57,2025-04-15,84523.4524914945,33155578229.343513,1677843510120.269,0.011036164356275968,0.5721508805820562,156.8,1944.0,-0.46479118,-0.7723976,44.75,9.666666666666666,8.714285714285714,9.2,15.8,13.0,8.0,189.0,188.0,37.0,23.0,230.0,20.0,0.0,-0.1520516,-0.54914194,0.14461364,-0.55512583,-0.59477437,-0.97388196,-0.8861557,-0.7488917,-0.9829696,-0.11581434,-0.2768643,-0.9899017,-0.99582267,0.99949896,-0.6185944,-0.45047164,-0.76605576,0.014399648,-0.41599506,-0.792338,-0.9848523,0.05667162,-0.49465448
58,2025-04-16,83656.49248858042,25084671427.622566,1660749023283.0562,-0.010257034909942009,0.568237364860779,50.26966292134831,3681.0,-0.48124,-0.55860806,156.8,44.75,9.666666666666666,8.714285714285714,9.2,15.8,13.0,1944.0,189.0,188.0,37.0,23.0,230.0,20.0,-0.46479118,-0.1520516,-0.54914194,0.14461364,-0.55512583,-0.59477437,-0.97388196,-0.7723976,-0.7488917,-0.9829696,-0.11581434,-0.2768643,-0.9899017,-0.99582267,-0.51992404,-0.6185944,-0.45047164,-0.76605576,0.014399648,-0.41599506,-0.792338,-0.9848523,-0.56672895
59,2025-04-17,84105.77942167096,26948109141.803364,1670497569762.047,0.005370616430659725,0.5652417927970633,37.71875,1687.0,-0.4555179,-0.39130354,50.26966292134831,156.8,44.75,9.666666666666666,8.714285714285714,9.2,15.8,3681.0,1944.0,189.0,188.0,37.0,23.0,230.0,-0.48124,-0.46479118,-0.1520516,-0.54914194,0.14461364,-0.55512583,-0.59477437,-0.55860806,-0.7723976,-0.7488917,-0.9829696,-0.11581434,-0.2768643,-0.9899017,-0.4234107,-0.51992404,-0.6185944,-0.45047164,-0.76605576,0.014399648,-0.41599506,-0.792338,-0.49654877
60,2025-04-17,83923.95487019762,25688750439.500618,1666171259058.0515,-0.0021618556147223744,0.5624517736687493,37.71875,1687.0,-0.4555179,-0.39130354,37.71875,50.26966292134831,156.8,44.75,9.666666666666666,8.714285714285714,9.2,1687.0,3681.0,1944.0,189.0,188.0,37.0,23.0,-0.4555179,-0.48124,-0.46479118,-0.1520516,-0.54914194,0.14461364,-0.55512583,-0.39130354,-0.55860806,-0.7723976,-0.7488917,-0.9829696,-0.11581434,-0.2768643,-0.4234107,-0.4234107,-0.51992404,-0.6185944,-0.45047164,-0.76605576,0.014399648,-0.41599506,-0.45043284
